업체코드,종목코드,종목명,업체명,법인번호,사업자번호,설립일,상장일,상장폐지일,시장구분,결산월,기업규모,주식업종,소속기업집단,NICS산업분류,표준산업대분류,표준산업중분류,코스피구분,상폐사유,상폐사유요약,연도,01_총자본증가율,02_영업이익증가율,03_순이익증가율,04_자기자본증가율,05_매출액증가율,06_종업원수증가율,07_매출액총이익율,08_매출액영업이익율,09_매출액순이익율,10_총자산영업이익율,11_총자산순이익율,12_자기자본영업이익율,13_자기자본순이익율,14_금융비용부담율,15_수지비율,16_사내유보대자기자본비율,17_총자본회전율,18_자기자본회전율,19_타인자본회전율,20_유동자산회전율,21_당좌자산회전율,22_재고자산회전율,23_매출채권회전율,24_순운전자본회전율,26_종업원1인당부가가치,27_노동장비율,28_기계장비율,29_자본집약도,30_총자본투자효율,31_설비투자효율,32_1주당매출액,33_주당순이익,34_주당현금흐름,35_주당순자산가치,36_유보율,37_자기자본구성비율,38_유동비율,39_당좌비율,40_현금비율,41_재고자산대순운전자본비율,42_매출채권대매입채무비율,43_부채비율,44_이자보상비율,45_Cashflow대부채비율,46_Cashflow대차입금비율,47_Cashflow대총자본비율,48_Cashflow대매출액비율,49_기계투자효율,50_부가가치율,51_노동소득분배율,52_자산총계
N500267,A000360,삼환기업,삼환기업(주),110111-0020307,101-81-00452,1952-09-03,1973-09-03,2015-04-15,외감,12.0,대기업,,SM,N20103.건설 및 엔지니어링,F00000.건설업(41~42),F41000.종합 건설업,코스피,자본전액잠식,자본잠식,2024,,,,,,,11.24,6.,4.76,,,,18.48,1.28,95.39,16.42,1.02,,,1.12079273,1.639937514,,,8.71,,"5,004,930.",.,,,,,,,,209.27,24.26,,,7.75,366.54,39.13,,,5.01,8.13,3.79,4.3,,,,"291,540,588,000."
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2014,-3.1442299,-0.6064711,-7.0880537,,-0.5048831,-0.5316456,-5.63,-40.03,-66.07,-0.1869679,-0.308559,3.3506712,,12.55,162.95,-66.36,.47,,0.4423679,,,3.61,1.8,-.81,,,,"1,001,816.82",,,647.5488189,-427.8040957,11.4110042,-293.5047805,-158.7,,26.16,15.1,2.,,64.41,,-3.19,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2015,,,,,,,-11.2,-36.84,-83.02,,,,,11.05,164.94,-324.76,0.45,,,,,,,-0.42,,,,,,,,,,,-211.26,,,,1.12,,51.89,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N381829,A000420,로케트전기,(주)로케트전기,200111-0002819,409-81-00055,1954-10-20,1988-08-05,2015-02-24,폐업,12.0,중소기업,,,N30301.가정용품,C00000.제조업(10~34),C28000.전기장비 제조업,코스피,감사의견 의견거절,감사의견거절,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2014,0.197283,0.5055656,0.0718841,19.73,0.000426,-0.0058527,7.83,2.29,1.0,0.0237345,0.0103879,0.0519978,2.28,.48,98.45,42.87,1.03,2.27,1.9039991,,,23.28,9.26,18.9,,,,"2,767,469.26",,,176826.9195739,1683.759905,5128.1271902,86941.6154354,"1,572.7",46.34,119.93,109.14,22.41,54.14,139.14,115.81,4.78,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N610232,A000830,삼성물산,삼성물산(주),110111-0002975,104-81-26728,1952-01-11,1975-12-12,2015-09-15,폐업,12.0,대기업,,,N20107.무역회사와 판매업체,G00000.도매 및 소매업(45~47),G46000.도매 및 상품 중개업,코스피,해산 사유 발생,해산사유발생,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
